algorithm,run,seed,cost,time_s,valid
PSO,1,0,5402.202555764068,6.76589869999998,0.0
PSO,2,1,212.19004802000865,6.909836900000073,1.0
PSO,3,2,2390.2629759044044,6.519759600000043,0.0
PSO,4,3,563.4894205432818,7.9854806999999255,0.0
PSO,5,4,202.2025557640677,6.477373400000033,1.0
PSO,6,5,1382.9937250233725,6.1045096000000285,0.0
PSO,7,6,1184.517248155186,6.8475488999999925,0.0
PSO,8,7,202.5084670307311,7.4220606999999745,1.0
PSO,9,8,2200.2504681603455,6.788715700000012,0.0
PSO,10,9,2202.2025557640677,6.347018100000014,0.0
GWO,1,0,2162.289727746913,10.223955100000012,0.0
GWO,2,1,1162.3343621134134,10.304980800000067,0.0
GWO,3,2,2153.766745514931,10.092054699999835,0.0
GWO,4,3,2153.138243981021,9.506030599999804,0.0
GWO,5,4,1168.7295996365517,9.754348100000016,0.0
GWO,6,5,2163.517575819118,10.923628100000087,0.0
GWO,7,6,1162.3382599797017,9.632990999999947,0.0
GWO,8,7,2161.5502416884774,9.544683600000099,0.0
GWO,9,8,2159.1608723208988,10.073314099999834,0.0
GWO,10,9,2161.677210216389,9.717576999999892,0.0
OCA,1,0,248.94529017962753,7.943478200000072,1.0
OCA,2,1,173.46922162911758,7.589324100000113,1.0
OCA,3,2,1155.6903113419476,7.802517100000159,0.0
OCA,4,3,155.04370698510064,7.906019900000047,1.0
OCA,5,4,155.08941804470916,7.957921299999953,1.0
OCA,6,5,250.7191526670572,8.639786000000186,1.0
OCA,7,6,151.21159797379443,8.313066799999888,1.0
OCA,8,7,1157.736983129948,8.40192879999995,0.0
OCA,9,8,1157.82793974453,7.994314100000111,0.0
OCA,10,9,164.1178689843972,7.822195400000055,1.0
